STT,Questions,Entities,Grade,Unit,Assign,Check Done,Cypher Query,Query Type,Note,# Single-Single,# Single-Multi,# Multi-Single,# Multi-Multi,label,event_type
33,Đạo luật chia đôi xứ Ben-gan được ban hành vào thời điểm nào?,"Đạo luật chia đôi xứ Ben-gan
chinh_sach",11,39,QuanPV,TRUE,"match (e:Event)-[:ban_hanh]-(a) where a.name = ""Đạo luật chia đôi xứ Ben-gan""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
34,Nguyên nhân của Chiến tranh thuốc phiện là gì?,"Chiến tranh thuốc phiện
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thuốc phiện""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,6,
35,Chiến tranh thuốc phiện bắt đầu khi nào?,"Chiến tranh thuốc phiện
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thuốc phiện""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
36,Chiến tranh thuốc phiện kết thúc khi nào?,"Chiến tranh thuốc phiện
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thuốc phiện""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,5,
37,Anh dùng Chiến tranh thuốc phiện để xâm lước nước nào?,"Anh | Chiến tranh thuốc phiện
dia_diem | tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Anh""
match (e)-[:ten_goi]-(b) where b.name = ""Chiến tranh thuốc phiện""
match (e)-[:doi_tuong_bi_tan_cong]-(c)
return c",single - single,,,,,,1,
38,Những điều khoản của Hiệp ước Nam Kinh là gì?,"Hiệp ước Nam Kinh
hiep_dinh",11,40,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nam Kinh""
match (e)-[:mo_ta]-(b)
return b",single - single,,,,,,3,
39,Các bên tham gia kí kết Hiệp ước Nam Kinh là ai?,"Hiệp ước Nam Kinh
hiep_dinh",11,40,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nam Kinh""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b",single - single,,,,,,6,
40,Ý nghĩa của việc kí kết Hiệp ước Nam Kinh?,"Hiệp ước Nam Kinh
hiep_dinh",11,40,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Nam Kinh""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
41,Trình bày diễn biến quá trình xâm lược Trung Quốc của các nước đế quốc?,"Trung Quốc | các nước đế quốc
dia_diem | dia_diem",11,40,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""Trung Quốc"" 
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""các nước đế quốc"" 
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
42,Kết quả của trận đánh do quân chủ lực của ta tấn công thị xã Lai Châu vào 10 - 12 - 1953?,"quân chủ lực của ta | thị xã Lai Châu | 10 - 12 - 1953
quan_doi | dia_diem | thoi_gian",12,78,HungTX,TRUE,"match (e:Event)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""quân chủ lực của ta""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where b.name = ""thị xã Lai Châu""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""10 - 12 - 1953""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
43,Trình bày ý nghĩa của Hiệp định Giơnevơ được kí vào năm 1954,"Hiệp định Giơnevơ | năm 1954
hiep_dinh | thoi_gian",12,79,HungTX,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định Giơnevơ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1954""
match (e)-[:y_nghia]-(c)
return c",single - single,,,,,,5,
44,Kết quả của việc kí kết Hiệp định Giơnevơ là gì?,"Hiệp định Giơnevơ
hiep_dinh",12,79,HungTX,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp định Giơnevơ""
match (e)-[:Result|ket_qua]->(e1)
match path = (e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,5,
45,Mĩ thành lập chính quyền Ngô Đình Diệm ở miền Nam nhằm mục đích gì?,"Mĩ | chính quyền Ngô Đình Diệm | miền Nam
to_chuc | to_chuc| dia_diem",12,79,HungTX,TRUE,"match (e:ThanhLap)-[:thanh_lap_boi]-(a) where a.name = ""Mĩ""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b) where b.name = ""chính quyền Ngô Đình Diệm""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""miền Nam""
match (e)-[:muc_tieu]-(d)
return d",single - single,,,,,,1,
46,Mô tả trận Vạn Tường diễn ra vào 18 - 8 - 1965?,"trận Vạn Tường | 18 - 8 - 1965
tran_chien| thoi_gian",12,80,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận Vạn Tường""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""18 - 8 - 1965""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
47,Mục tiêu của cuộc hành quân Gianxơn Xiti?,"cuộc hành quân Gianxơn Xiti
tran_chien",12,80,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc hành quân Gianxơn Xiti""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,3,
48,Cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968 diễn ra ở đâu?,"Cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968
tran_chien",12,80,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
49,Nguyên nhân Mĩ ném bom xuống thị xã Đồng Hới và đảo Cồn Cỏ?,"Mĩ | thị xã Đồng Hới | đảo Cồn Cỏ
dia_diem | dia_diem | dia_diem",12,80,HungTX,TRUE,"match (e:NemBom)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Mĩ""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where a.name = ""thị xã Đồng Hới""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where b.name = ""đảo Cồn Cỏ""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
50,Mĩ ném bom xuống thị xã Đồng Hới và đảo Cồn Cỏ vào năm nào?,"Mĩ | thị xã Đồng Hới | đảo Cồn Cỏ
to_chuc | dia_diem | dia_diem",12,80,HungTX,TRUE,"match (e:NemBom)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""Mĩ""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where a.name = ""thị xã Đồng Hới""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where b.name = ""đảo Cồn Cỏ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(d)
return d",single - single,,,,,,1,
51,Cuộc Tiến công chiến lược năm 1972 đã tấn công vào những địa điểm nào?,"Cuộc Tiến công chiến lược | năm 1972
tran_chien | thoi_gian",12,80,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Tiến công chiến lược""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1972""
match (e)-[:doi_tuong_bi_tan_cong]-(c)
return c",single - single,,,,,,1,
52,Đông Dương cộng sản đảng được thành lập bởi ai?,"Đông Dương cộng sản đảng
to_chuc",12,71,HungTX,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đông Dương cộng sản đảng""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
53,Đông Dương cộng sản đảng được thành lập vào ngày nào?,"Đông Dương cộng sản đảng
to_chuc",12,71,HungTX,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đông Dương cộng sản đảng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
54,Đảng Cộng Sản Việt Nam được thành lập trong bối cảnh nào?,"Đảng Cộng Sản Việt Nam
to_chuc",12,71,HungTX,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng Sản Việt Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
55,cuộc khởi nghĩa Thái bình Thiên quốc do ai lãnh đạo?,"cuộc khởi nghĩa Thái bình Thiên quốc
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Thái bình Thiên quốc""
match (e)-[:doi_tuong_lanh_dao]-(b)
return b",single - single,,,,,,9,
56,cuộc khởi nghĩa Thái bình Thiên quốc bắt đầu khi nào?,"cuộc khởi nghĩa Thái bình Thiên quốc
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Thái bình Thiên quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
57,cuộc khởi nghĩa Thái bình Thiên quốc kết thúc khi nào?,"cuộc khởi nghĩa Thái bình Thiên quốc
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Thái bình Thiên quốc""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,5,
58,cuộc khởi nghĩa Thái bình Thiên quốc diễn ra ở đâu?,"cuộc khởi nghĩa Thái bình Thiên quốc
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc khởi nghĩa Thái bình Thiên quốc""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
59,Ai là người lãnh đạo cuộc vận động Duy Tân?,"cuộc vận động Duy Tân
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc vận động Duy Tân""
match (e)-[:doi_tuong_lanh_dao]-(b)
return b",single - single,,,,,,9,
